sampleID,Clmp,Matn2,Cpe,Gcg,Gdnf,Yes1,Il17a,Foxo1,Tnfrsf11b,Tgfb1,Pla2g4a,Il6,Prdx5,Tgfa,Ccl5,Epo,Axin1,Fst,Rgma,Nadk,Tnni3,Notch3,Snap29,Cntn1,Clstn2,S100a4,Ca13,Mia,Cant1,Kitlg,Gfra1,Ppp1r2,Adam23,Itgb6,Cyr61,Dlk1,Ahr,Ccl2,Eno2,Plin1,Wfikkn2,Flrt2,Qdpr,Fas,Erbb4,Riox2,Plxna4,Epcam,Ccl3,Crim1,Vsig2,Hgf,Sez6l2,Il1a,Il23r,Dll1,Ddah1,Il10,Tnfrsf12a,Acvrl1,Lgmn,Csf2,Cxcl9,Map2k6,Itgb1bp2,Il17f,Il1b,Casp3,Apbb1ip,Wisp1,Cdh6,Pdgfb,Igsf3,Tgfbr3,Cxcl1,Pak4,Cntn4,Ghrl,Lpl,Fstl3,Dctn2,Il5,Eda2r,Ntf3,Tnfsf12,Ccl20,Fli1,Tpp1,Tnr,Vegfd,Parp1,Tnf
F05:1-Day1,3.199381703,3.390078602,3.383919188,1.76438692,1.888924049,1.997815143,2.546733052,3.220130276,2.71317094,4.509148893,8.89763194,3.591267561,9.19942141,4.414699921,3.607083041,1.645853729,6.033018039,7.731954165,2.378155472,8.537455675,1.984420376,2.944093391,9.547376746,4.841002968,2.412553778,10.84741521,5.430086012,3.033955021,1.992459775,2.723296118,2.494931717,4.640700684,0.922556304,1.034522893,3.735661177,3.231883146,1.960122568,8.633551174,2.536653073,1.971840001,3.021701795,2.311421002,7.165136106,4.438581581,2.610801464,7.431602931,2.770175471,1.919705622,6.827182588,3.972320869,2.235402621,5.435562522,4.247204758,7.318164474,3.52920051,2.132026555,3.936292382,2.75940292,2.225455505,2.725448587,2.773076054,2.455935983,4.167501872,8.961179111,1.791990089,1.35019958,4.801036364,10.20966981,4.818218608,3.663793753,2.552169543,8.667823298,3.135903486,2.121149242,9.564143963,2.427293448,2.14927888,1.77706488,2.657096991,2.852186874,5.582874727,1.933663186,1.105220934,2.631155355,3.51715074,8.232357146,4.378931688,2.775912282,1.517919505,1.992224424,7.748037094,2.509961121
F05:2-Day2,3.014959098,3.548634471,3.351101347,2.353708005,1.735933391,1.848106254,2.374885293,3.22928199,2.685511437,4.253626896,8.775744706,2.768321753,9.41853149,4.509544407,3.654983758,1.722741519,6.191319517,7.715837833,2.674025108,8.972500423,2.074542092,2.863679974,9.634354829,4.683681886,2.695399531,10.46508206,5.75339482,2.993679742,1.991685464,2.885909576,2.58286141,4.818047659,0.993426939,0.340011963,3.917679031,3.200009541,1.853710199,8.836928154,2.572659433,2.354251255,3.263458026,2.551906127,7.22827055,3.965186835,2.709461766,7.58561943,2.979898082,2.125891778,6.016358062,4.073634389,2.08963349,5.086433402,4.111567328,7.014819596,3.270296494,2.146431846,3.793456414,2.532265627,2.313732756,2.495039416,2.660034534,2.35283263,4.369903527,8.97219767,1.708436295,1.423947528,4.156402036,10.25116907,4.951112632,3.457377653,2.644710163,8.169972188,3.1043262,2.090109248,8.312862129,3.149058346,2.087232162,1.902258342,2.684214835,2.877362557,5.642869291,2.363027315,0.898818639,2.811990359,3.001159378,5.629793145,4.742750171,2.764307539,1.394389909,2.083633824,7.757766748,2.243741709
F06:2-Day1,2.946699017,3.054342134,3.274539755,2.15648377,2.024707291,1.71475443,2.001505443,3.06268717,2.604181766,4.552996344,9.018422918,2.806390617,8.824839099,4.136374302,3.738614159,1.693300378,6.480911149,7.534096378,2.59310073,7.987265828,1.966305614,2.822100174,9.775798157,4.585601847,2.568762026,10.38361493,5.498207991,3.209494743,1.990067753,3.161562656,2.34270712,4.858667845,1.331389125,0.203378533,3.679528311,3.390062115,1.736855073,8.576411596,2.503823175,2.276703044,5.175359816,2.402152365,7.259836791,3.942281083,2.637473476,6.906783074,3.009153143,1.884642092,6.256665137,4.065855342,1.822749571,4.987298831,4.483515061,6.980319486,3.369609453,2.027691178,3.871776365,2.563885765,2.290029207,2.422473396,2.578019893,2.593279361,4.996750803,9.14557178,2.21533478,1.322097672,3.888219404,10.27729719,4.986333264,3.742307251,2.752666461,8.588990015,3.214715586,2.36821045,9.111626366,3.431536454,1.996908961,2.06305753,2.965160014,2.651356163,6.057588699,2.378908323,1.238825928,2.837900138,3.482687512,4.668996499,4.249338238,3.063864739,1.558310675,1.950508732,7.455925523,2.533958591
F05:4-Day5,3.019980665,4.048718309,3.477007929,1.828544783,2.0589826,1.908394295,5.252248139,2.791238741,2.891727673,4.840592174,9.02690433,3.71793013,9.900866487,5.69950792,3.413495767,1.494351493,6.46601412,8.7767063,2.705756721,9.367167978,2.13524582,2.814962542,9.627137661,4.903258958,2.798053687,11.0435582,5.566042431,3.024383344,1.896576005,2.969724599,3.060641617,4.842176923,0.979621377,1.264076183,4.506730917,3.205390838,1.975442226,9.204559249,2.629533411,2.262327136,3.455912789,2.998392057,7.114449764,4.809296952,2.671662399,7.440194201,3.030101027,1.315657189,9.708699766,4.313234818,1.744112981,6.283242515,4.283314104,8.61658906,3.186328655,2.160263441,4.076226012,2.487158093,2.394881093,2.529191891,3.150191871,2.733728293,4.809766358,9.030326821,1.784146093,1.346819359,6.358626638,10.29607875,5.018806992,3.644707252,2.64049288,9.628656853,3.373948567,2.114387142,9.883732664,3.652292521,2.023003348,1.846940422,2.780777387,3.065457047,5.989882114,2.323708562,1.263855088,2.750182435,3.448081597,4.987970553,4.59072664,2.737646601,1.545481571,2.049900588,8.18605794,2.586691748
F05:3-Day3,3.068683734,4.74834706,3.386321942,2.011132789,1.846202561,2.190128481,2.27716795,3.219317347,2.823624705,4.677256304,8.921731344,2.773276741,9.687400993,4.934461449,3.719008706,1.496349486,6.186873822,8.602705878,2.354189229,9.237474519,2.190513993,2.689144746,9.572935651,4.582292728,2.847817451,11.1089982,5.823375605,2.921489002,2.120281496,2.82351634,3.462270849,4.858480977,1.269685942,0.622183408,3.998438592,3.197545076,2.711696517,9.589018186,2.696800501,2.356363137,3.268793514,2.746155019,7.19538795,4.459527736,2.596303302,7.433105565,3.093537054,1.856136448,7.999337181,4.44225414,1.013558688,5.337496755,4.075680988,7.38948356,3.281885113,2.096622005,4.238369842,2.330345968,1.901018132,2.711034826,3.367016495,2.301874554,5.048188054,9.109199089,1.764709941,1.341173537,4.466168556,10.29290097,5.026899135,3.689438496,2.750911213,8.601305569,3.105122471,2.333433858,8.808930595,3.22762294,1.930389695,1.983934663,2.936550926,3.22658732,5.738582096,2.152411136,0.904932279,2.880964765,3.723700377,5.032664208,4.803376394,2.948640155,1.714358518,2.150211748,8.113772787,2.651797685
F05:2-Day4,3.187104043,4.849773627,3.391352804,1.805940941,2.143561779,2.390266056,2.538477905,3.174852283,2.637719219,4.1199596,8.136831376,2.611985284,10.35939102,5.093565684,3.548219364,1.131395116,6.153210439,8.884806612,2.223141818,9.429394259,2.451856378,2.807192716,9.388876344,4.68731216,2.625994374,11.16746583,5.810498099,3.034094225,1.787027942,2.848440303,3.732741645,4.881333276,1.320725897,1.328242899,4.253859424,3.207890929,3.115467782,10.53429921,2.686130838,2.463921474,3.075581998,3.268513306,7.155739027,4.307295799,2.562115061,7.691509029,2.677215189,1.670584523,7.987801601,3.867224109,1.62351712,5.285192452,4.072559483,7.299701296,3.393288502,1.904633692,5.339817414,2.380982374,1.960272113,2.932486912,3.917308593,2.668177958,4.865690867,8.943697074,2.001323443,1.348359481,4.731837189,10.24702461,4.958546472,3.553213249,2.568053632,7.919949973,3.113296496,2.159539749,8.44689574,3.356571957,1.872063479,1.962437883,2.5470777,2.758601874,6.090548502,1.28653438,1.219842288,2.61939322,3.937500096,4.724393378,4.254132666,2.752696415,1.196813075,2.065369581,8.321895563,2.590560267
F06:3-Day1,2.964211511,3.069051632,3.385476807,1.960679047,1.539263836,1.791237674,1.852250091,3.303091655,2.655984024,4.530913799,8.957153953,2.812481049,8.765071218,4.243595614,3.433290445,1.745871875,6.156983243,7.680211092,2.358546598,7.769109551,2.137708199,3.240235763,9.485888354,4.90027048,2.751080467,10.01010511,5.337823658,2.875675025,1.830947274,2.912795318,2.120095531,4.755048446,1.139557375,0.513159626,3.958425985,3.344498721,1.516442686,8.055807985,2.382948037,2.176446578,3.314172256,2.362535132,7.212121292,3.983681578,2.710031031,7.414791562,3.028526098,1.308819856,4.84554689,4.138597154,1.271777887,5.076675559,4.236686675,7.14764964,3.400900947,2.094893982,3.682713934,2.590368312,2.166278901,2.794188481,2.55381973,2.344665895,4.04351327,9.063953252,1.811731265,1.259834481,3.499878352,10.28190466,4.938163881,3.600982735,2.525253511,8.637023229,3.009511762,2.263717501,8.855847354,3.060079672,2.118748374,1.937742771,3.687578067,2.479765364,5.816410566,2.083738189,1.023211786,2.582724349,3.043547112,4.420471221,4.509410149,2.788832277,1.519991503,2.197034237,7.411242042,2.33356156
F05:3-Day2,3.008576842,3.755163434,3.21935352,1.497198935,1.319727402,2.155172919,2.102793534,3.522631191,2.580787403,4.901498482,9.070356014,2.455031372,9.581135131,4.741726079,3.745791072,1.336110103,6.482946643,8.222474503,2.116781554,9.035490184,2.096714395,2.919793968,9.667747748,4.808924298,2.134923887,10.88838831,5.917466042,3.262871039,2.093826306,3.003331849,2.611347134,4.707891879,1.482488405,1.284420243,4.042188091,3.448555348,2.075843751,9.533968942,2.462074376,2.039178938,3.538299091,2.168075216,7.179182338,4.288564497,2.492733782,7.654490883,2.680835932,1.890666491,8.177485669,4.088553059,1.588919362,5.433176167,4.017515655,7.644842045,3.78547829,2.217155982,4.224616052,2.598727233,2.150836998,2.686356992,2.921179462,2.944808509,4.62855697,9.128027202,2.336831625,1.340828168,4.932702592,10.25281705,4.989113737,3.649647205,2.757388962,8.878054847,2.772579612,2.078241045,9.269684226,2.975912865,1.882261704,1.54296863,2.887649634,2.750559945,5.987620371,2.280553923,0.970577711,2.331373706,3.580352366,5.46533337,5.14301396,2.899339147,1.213305655,1.808727828,7.972525813,2.367508572
F06:3-Day0,2.970650007,3.128298284,3.492616764,1.713051639,1.646883511,1.931264102,2.09067947,3.035744243,2.548004689,4.508947098,9.188936028,2.65011675,8.91540809,4.013060535,3.354364452,1.49595596,6.507228089,7.332194245,2.329664087,7.860535233,1.899930135,3.194108002,9.914738849,5.078249154,2.763161673,10.62451987,5.463874167,2.978420723,2.155284996,2.978611471,2.138639984,4.933623032,1.142532205,0.402761133,4.192665661,3.237977389,1.698252558,7.185416279,2.713092727,2.391131111,3.579814783,2.247894984,7.328162633,3.897757055,2.584968938,6.449533949,2.858927535,1.925089399,4.062489451,4.448704103,1.925878807,5.209620055,4.311133699,7.468452209,3.298049408,2.223698706,3.614148331,2.609074651,1.893370956,2.861399916,2.632329215,2.366731205,4.079557506,9.205497583,1.912975368,1.276708796,3.134324593,10.30233379,5.066371634,3.643208794,2.775914256,8.613967024,3.248422498,2.110350104,9.089353079,3.122332117,2.053627384,2.196755424,2.757645986,2.048689916,5.934580137,1.885559327,0.90825601,2.939893614,2.937472637,4.838096203,4.424194824,2.669753216,1.279325449,2.018745031,6.797464435,2.112064377
F06:4-Day1,3.280575266,4.105374055,3.526526502,2.145074472,1.890835231,2.331375364,1.906739132,2.973577848,2.819870335,4.604211322,8.997500993,3.444438436,9.45347086,4.622198699,3.469919007,1.415340106,6.519587319,7.792478658,2.190148227,8.347683855,2.131888125,2.966710215,9.731271333,4.616032938,2.810724448,11.079144,6.043822386,3.0861981,2.083298138,3.048524373,2.939838842,4.953408132,0.913307991,0.236357511,3.960695766,3.038934343,2.041162679,8.778308427,2.787722406,2.176070487,3.210072942,2.511704055,7.300520983,4.134342602,2.670946344,6.902198527,2.839122076,1.474001263,6.488846826,4.374870126,1.681896653,5.149618622,4.176587312,7.371974888,3.21864486,2.077905749,4.007428627,2.421979116,2.153320869,2.618326593,2.83589094,2.327849147,4.24030088,9.201615102,1.55061386,1.346341627,4.484107413,10.25990293,4.948051657,3.599610381,2.757644255,8.755264176,3.214322715,2.372394338,9.443804638,3.642187546,2.02307685,2.162091485,2.779661214,2.911203245,6.074976422,2.568223013,0.634029992,2.876275943,3.370390744,5.444521456,4.162778456,2.66276449,1.444788667,2.006120733,6.997132927,3.415978204
