sampleID,Clmp,Matn2,Cpe,Gcg,Gdnf,Yes1,Il17a,Foxo1,Tnfrsf11b,Tgfb1,Pla2g4a,Il6,Prdx5,Tgfa,Ccl5,Epo,Axin1,Fst,Rgma,Nadk,Tnni3,Notch3,Snap29,Cntn1,Clstn2,S100a4,Ca13,Mia,Cant1,Kitlg,Gfra1,Ppp1r2,Adam23,Itgb6,Cyr61,Dlk1,Ahr,Ccl2,Eno2,Plin1,Wfikkn2,Flrt2,Qdpr,Fas,Erbb4,Riox2,Plxna4,Epcam,Ccl3,Crim1,Vsig2,Hgf,Sez6l2,Il1a,Il23r,Dll1,Ddah1,Il10,Tnfrsf12a,Acvrl1,Lgmn,Csf2,Cxcl9,Map2k6,Itgb1bp2,Il17f,Il1b,Casp3,Apbb1ip,Wisp1,Cdh6,Pdgfb,Igsf3,Tgfbr3,Cxcl1,Pak4,Cntn4,Ghrl,Lpl,Fstl3,Dctn2,Il5,Eda2r,Ntf3,Tnfsf12,Ccl20,Fli1,Tpp1,Tnr,Vegfd,Parp1,Tnf
23MFT7:5-Day_0,1.209025432,-0.142820127,1.820964826,0.88918618,0.542895679,-0.040825284,0.439229713,1.589348105,0.935361279,2.625704484,7.203763326,0.954755659,8.267251006,3.011733019,2.400629966,-0.310589881,4.516694022,5.965989634,1.365775195,5.133674599,0.128347815,0.390136987,9.003426201,2.419305788,1.119587465,8.848455647,4.050713727,1.551266141,-0.273825506,0.804763893,0.800953946,3.660498206,-0.991104198,-0.58119486,1.533804312,2.067110215,0.439578126,6.397630844,1.600896799,0.905637581,1.651799916,0.908694948,5.753959909,2.059722985,1.102560286,5.418703246,0.745107752,0.57246105,3.435767338,1.853338174,0.359750235,3.488233746,2.478029148,6.212137623,1.079687982,0.371514262,3.21808462,0.92410612,0.949035401,1.670101838,0.850807242,0.536472954,1.825428728,8.159845569,-1.553613001,0.336037595,1.902549794,9.170270404,3.988292509,2.064524133,0.524397692,5.29447291,1.47943633,0.499848652,7.505431249,1.674237653,0.874620143,1.100453485,0.605806482,0.958686053,4.767080611,1.334977697,-0.624134011,1.579807955,0.803494616,2.959635421,2.651320862,1.449066688,0.294165161,0.468382371,4.897308451,0.084417682
23MFT8:4-Day_9,1.594763603,0.471859397,1.720972171,0.032947354,0.938009631,0.305921009,0.550561916,1.413253039,0.878993864,3.610691043,7.373679151,1.465339302,8.39975037,3.273921165,2.470022496,0.296918227,4.372904663,6.021355917,1.064540039,5.450558814,0.388467904,1.074140384,9.023260533,2.92385794,1.634352736,8.936825004,4.218487559,1.521494773,0.397098931,0.743140827,0.928286613,3.729220348,-0.42266886,-0.549883584,1.404713527,2.141616482,0.672468691,7.034631592,1.578451081,1.278204911,2.121165732,1.222084793,5.608837556,2.168832218,1.2792013,5.520565427,0.726194259,1.015786292,4.50121696,2.20737233,0.98139041,3.400956387,2.322114324,5.940896725,1.683574505,0.712519074,3.278857765,1.691493222,1.22725309,1.6895975,1.15074496,0.845184422,2.43602383,8.144235341,0.097944943,0.259957306,2.542978268,9.093759081,3.846218944,2.220996721,0.678537505,5.5186325,1.792166417,0.460891611,7.659136271,1.475177674,0.615592084,1.082162979,0.843132376,1.434859285,4.806311576,0.933178276,0.014357416,1.608189513,1.122279158,3.576562993,3.051670233,1.407070844,0.548275936,0.871868746,4.73822156,0.979392628
23MFT7:1-Day_1,1.556190688,0.108716381,1.678400244,0.553663018,0.638348541,-0.380826794,0.051586303,1.512501721,1.069787197,3.110680381,7.326654623,2.003004498,8.908740523,3.433041073,2.586573258,0.16383773,4.651098597,6.062798912,1.115354213,5.904689231,0.107205189,0.99645644,8.967482064,2.733222446,0.83321542,8.521104583,4.35462954,1.745916779,-0.600682135,0.601300195,0.738789206,3.738925265,-0.632761615,0.070984446,1.51443058,1.941824105,0.730881649,8.504509511,1.558560453,1.093306536,4.73221096,1.034710763,5.683403262,2.535522988,1.227024994,6.067768515,0.403264887,0.250774957,5.709315887,1.346536323,0.173910554,4.073294669,2.425255368,5.992447739,1.215226334,0.602898909,3.21978524,1.144882702,1.396473892,1.70951724,1.130515125,0.969546179,2.497222288,8.094623203,-0.743181667,-0.031246952,3.668965667,9.075291358,3.870439452,2.329657861,0.614014674,6.115011049,1.308414552,0.36688035,8.601559106,1.301258324,0.858777527,0.856583722,0.661000889,1.817178428,4.989562705,0.554524685,-0.351804413,1.412976137,1.286098974,4.326983634,3.299069089,1.876108933,0.575921538,0.424341965,5.262193529,1.033791023
23MFT7:5-Day_3,1.45743741,-0.58197335,1.603152601,0.18919456,0.391812965,-0.1369033,0.457038024,0.865959026,0.795187102,2.421251806,7.051699678,0.839914757,8.172430372,3.082979291,2.352379447,-0.275117904,4.048882898,5.811408181,0.84982738,5.127810729,-0.02208726,0.672163924,8.976831965,2.338467378,0.776964459,8.114001955,3.612446008,1.474248016,-0.480150499,0.679440926,0.74012314,3.360669455,-0.836565691,0.06083931,1.535936978,1.938174751,0.435285247,9.367537289,1.511857935,1.234270392,1.801809673,0.713409486,5.564266868,2.065367656,1.003397253,4.453616989,0.5789519,-0.841122495,4.310423325,1.369356338,-0.438502819,3.333429577,2.095234961,5.723664182,1.431686943,0.072688638,2.869054113,0.798059109,0.784230159,1.83346489,1.362011914,0.535366433,3.442136871,8.05860123,-0.424466113,0.143402686,1.765907244,9.150402375,3.792121126,2.129762822,0.62124838,4.805074248,1.316525572,0.005463423,8.330394464,1.642035947,0.4226641,0.877699543,0.469464898,1.268122121,4.370649457,0.79028413,-0.820889092,1.062823868,0.599515685,2.887175674,2.27282197,1.439722792,0.227643661,0.303483902,4.292084316,0.489824066
23MFT8:3_D14_5,1.282762537,-0.012380192,1.708422732,0.177149148,0.639219038,-0.339063759,1.21564963,0.801571718,1.023386177,2.950833681,6.003785105,0.896846791,7.460948468,2.949003515,1.772778839,0.757583323,3.501175925,4.966220454,1.556724458,3.962444436,5.193398223,1.503131634,8.798935918,2.907805839,1.290574486,4.963587117,3.341321844,2.007472037,-0.146209683,0.767006259,0.561896658,3.019617995,0.434311471,1.297366861,1.415563635,2.174560648,0.42973056,6.622259503,1.453354825,1.273175976,1.960313757,1.122344058,4.928811165,1.631261855,1.373026809,2.949646021,1.294341696,0.668709624,2.373084904,1.388052085,-0.081862205,1.844110082,2.184968214,4.28902708,1.734440169,1.069171722,2.628014748,1.474121347,1.14987874,1.763593598,1.123168088,1.472477448,3.108876766,7.618597161,0.706839286,0.335766503,1.91517597,9.094913942,3.29993366,2.013176838,1.037868461,4.761477903,1.944332002,0.705426509,7.656208924,1.421613682,0.797290798,1.496334419,0.75968514,0.961390084,4.373333278,0.604297827,-0.249295727,1.805156309,1.264493336,3.339782261,0.528051445,1.552131563,0.688780352,0.976845264,3.342752328,1.325854649
23MFT8:5-Day_9,2.171765287,0.35278567,1.681539573,0.930232642,0.786812581,0.089820305,0.704225036,1.824129643,0.943397936,2.842700283,6.842582016,0.830576097,9.110767547,3.883819336,3.422221779,-0.100499447,3.85628025,6.63223371,1.085636642,6.269564724,0.227977494,0.490299224,8.970093634,2.088092162,1.098830203,10.23152328,4.614758154,1.505512598,-0.234981559,0.635580378,1.619184849,3.441848728,-0.894698967,0.101245319,1.859631507,2.182101326,0.975465081,8.226761285,1.666030631,1.270443881,1.795986322,1.232425976,5.550145051,2.717422664,1.389130596,6.090780177,0.942449858,-0.499447132,6.074930732,1.668569488,0.760466236,4.457627818,2.082305444,5.722133741,1.652404039,0.452769635,2.828450861,1.03528404,1.337995566,1.615696543,1.583285304,1.183066238,4.417048613,7.756329064,0.815392566,-0.028246126,2.998084033,8.984138008,3.609039742,2.313084871,0.613482499,5.479453519,1.16503111,0.347848735,8.355784623,0.880588776,0.503448519,1.506408125,0.166248974,1.913322745,4.319224402,0.75488572,0.626056689,1.272469962,1.506916193,5.096484926,3.418616825,1.403909537,0.332525928,0.272114262,5.316442403,1.110226446
23MFT8:3-Day_14,2.424988023,1.470291266,1.955246269,0.350792582,0.677159955,0.466873308,0.543610968,1.399762184,1.053775031,2.86722212,6.682117085,0.702428214,9.117531902,3.971864813,2.367820139,0.253850025,3.978277806,6.747448621,0.888101303,5.727943153,0.349471807,0.924525896,8.949119916,2.898216219,1.252710258,10.40831233,4.685583142,1.51093659,-0.443297434,0.63937998,1.018220013,3.493294162,-0.049931502,0.197361024,1.331234593,2.039151706,1.235672223,7.596859503,1.906501495,1.067214875,1.908326881,1.324668606,5.416704504,2.312805444,1.250710323,5.034522254,0.958419382,0.54490345,3.755415727,1.828206237,-0.075318623,3.136412731,2.218203143,6.237088949,1.737901801,0.589991623,3.129836742,1.568434617,1.241555698,1.709349067,1.416176116,0.979993088,2.996343243,7.831371605,-0.087945939,0.189667167,2.010899297,8.978937605,3.538258265,2.824693367,0.852626759,5.560769449,1.469281432,0.324779758,7.432415676,1.784399439,0.753572316,1.092672095,0.410588571,2.363584066,4.530159131,-0.444764095,0.565694263,1.22696172,1.086753029,3.952661619,2.320437787,1.486906768,0.190033568,0.197790302,4.45215484,0.852678742
23MFT8:4-Day_3,1.341588225,0.932862726,2.11322965,0.399804147,0.896548435,0.889977341,0.380453675,1.155278948,1.025453628,2.615967154,7.159112881,0.558951179,9.217917656,3.857151788,2.556746751,0.116063849,4.209075727,6.599821708,0.699169677,6.647653755,-0.677194228,0.499714476,8.898537316,2.795200865,1.234926063,10.47926842,4.71705277,1.344482176,-0.69354204,0.285510115,1.36203995,3.365370028,-0.731827303,-0.709381994,1.049542353,1.792079426,1.193127083,7.893159187,1.652013278,1.271983414,1.817659844,2.569955416,5.517355663,2.665751724,1.035457944,5.598803913,1.219900387,-0.068623808,4.889348863,1.306327744,-1.081434843,4.774044803,2.080513543,6.199008621,1.705959786,-0.301482953,3.391792095,0.687248976,1.327212271,1.511665054,1.692089645,-0.161901789,1.881022586,8.123056559,0.205940739,0.065812801,3.431926421,9.070205983,3.782455572,2.363552661,0.533970848,5.839544672,1.047765115,-0.02203062,8.012697774,1.119567253,0.475831604,1.008919319,0.698409331,1.849577113,4.449760471,-0.274904987,0.412667076,1.281042968,1.155371738,3.554582889,3.311168336,1.389162305,0.258040842,0.149762349,5.332303612,0.472808634
23MFT8:3_D14_3,1.678302642,0.318380022,2.006024878,0.806761541,1.120919596,-0.449815494,0.580627832,0.931740002,0.952580833,2.349967495,5.447886178,1.182131331,7.308744041,3.101756074,2.093495349,1.096107927,3.766962099,4.924401724,0.983923595,3.817733011,5.55367926,0.950753245,8.804647282,3.00504016,1.436934882,5.10189455,3.593781321,1.565026046,-0.068708894,0.453016619,1.116106894,2.764704823,-0.378528267,-0.449773377,1.366302649,2.301807923,0.729616099,6.601514806,1.797330523,1.224438393,1.966776387,1.119063701,5.230674355,1.642985864,1.512133563,2.903661151,1.084504618,-0.287619125,2.05345983,1.983634165,0.516771776,1.064550649,2.534652783,2.714331125,2.04478389,0.909756923,2.97505227,1.626667956,0.865318418,1.512157434,1.081379873,0.77500825,3.39360801,7.47603931,0.174959272,0.30974129,1.696102328,9.118327129,3.532476276,2.398454218,0.529585693,3.892184345,1.247845702,0.507397064,7.724076651,1.727833746,0.959711807,1.582503056,0.762120692,0.896441493,4.265745125,1.276273015,-0.181442469,1.669751815,0.379004152,3.330640738,1.297259977,1.544183541,0.647591335,0.776401614,3.158877129,1.074506551
23MFT7:4-Day_3,1.373447401,-0.793760124,1.761602544,-0.192802194,0.801765511,-0.040636272,0.535824571,0.965621838,1.130149825,2.724454573,7.063865556,1.198350885,8.358954629,3.22718032,2.878183965,0.318893329,4.474769321,6.019443906,1.076101689,5.694068505,0.066890554,0.674885501,8.778107909,2.778578697,1.27571693,8.531733079,4.258022391,1.544518823,-0.511445544,0.585590924,0.91403372,3.441131095,0.100903215,0.129679154,1.51266904,1.81740612,0.450834594,10.59025204,1.250601858,1.245243188,1.839729072,0.817933774,5.73535205,2.104436595,1.034049103,5.005159024,0.906129651,-0.072236616,5.270996909,1.69571599,0.462592379,3.527167075,2.367174324,5.697507061,1.313054759,0.801037138,3.153842727,1.125020946,0.894796243,1.411349739,1.676120027,0.991231104,4.777513491,7.971650374,0.070081645,0.155315564,1.98023245,9.217421067,3.734626678,1.933588426,0.657196205,5.513235087,1.312120131,0.117057261,8.988132071,0.667863028,0.797917879,0.689406188,0.703829816,0.867262668,4.563538229,0.60815735,-0.416243967,1.426150846,0.466322895,3.255862643,1.96525123,1.789791601,0.109063255,0.274437446,4.536101955,0.652769407
